event, ALock, AThread
release, 247944893, 1043351526
release, 247944893, 1043351526
release, 247944893, 1043351526
release, 247944893, 1043351526
release, 247944893, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#18 is accuqired and released equivalent times
end, , 1043351526
begin, , 1014166943
acquire, 1625082366, 1014166943
acquire, 1625082366, 1014166943
acquire, 1625082366, 1014166943
acquire, 1625082366, 1014166943
acquire, 1625082366, 1014166943
Sum is :190
release, 1625082366, 1014166943
release, 1625082366, 1014166943
release, 1625082366, 1014166943
release, 1625082366, 1014166943
release, 1625082366, 1014166943
Thread Thread_I#0#19 SUCCEEDED:Lock Lock_I#0#19 is accuqired and released equivalent times
end, , 1014166943
begin, , 1076770748
acquire, 1625082366, 1076770748
acquire, 1625082366, 1076770748
acquire, 1625082366, 1076770748
acquire, 1625082366, 1076770748
acquire, 1625082366, 1076770748
Sum is :1
release, 1625082366, 1076770748
release, 1625082366, 1076770748
release, 1625082366, 1076770748
release, 1625082366, 1076770748
release, 1625082366, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#19 is accuqired and released equivalent times
end, , 1076770748
begin, , 572593338
acquire, 384294141, 572593338
acquire, 384294141, 572593338
acquire, 384294141, 572593338
acquire, 384294141, 572593338
acquire, 384294141, 572593338
Sum is :210
release, 384294141, 572593338
release, 384294141, 572593338
release, 384294141, 572593338
release, 384294141, 572593338
release, 384294141, 572593338
Thread Thread_I#0#20 SUCCEEDED:Lock Lock_I#0#20 is accuqired and released equivalent times
end, , 572593338
begin, , 2041416495
acquire, 384294141, 2041416495
acquire, 384294141, 2041416495
acquire, 384294141, 2041416495
acquire, 384294141, 2041416495
acquire, 384294141, 2041416495
Sum is :3
release, 384294141, 2041416495
release, 384294141, 2041416495
release, 384294141, 2041416495
release, 384294141, 2041416495
release, 384294141, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#20 is accuqired and released equivalent times
end, , 2041416495
begin, , 1024597427
acquire, 990355670, 1024597427
acquire, 990355670, 1024597427
acquire, 990355670, 1024597427
acquire, 990355670, 1024597427
acquire, 990355670, 1024597427
Sum is :231
release, 990355670, 1024597427
release, 990355670, 1024597427
release, 990355670, 1024597427
release, 990355670, 1024597427
release, 990355670, 1024597427
Thread Thread_I#0#21 SUCCEEDED:Lock Lock_I#0#21 is accuqired and released equivalent times
end, , 1024597427
begin, , 1043351526
acquire, 990355670, 1043351526
acquire, 990355670, 1043351526
acquire, 990355670, 1043351526
acquire, 990355670, 1043351526
acquire, 990355670, 1043351526
Sum is :0
release, 990355670, 1043351526
release, 990355670, 1043351526
release, 990355670, 1043351526
release, 990355670, 1043351526
release, 990355670, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#21 is accuqired and released equivalent times
end, , 1043351526
begin, , 296347592
acquire, 956420404, 296347592
acquire, 956420404, 296347592
acquire, 956420404, 296347592
acquire, 956420404, 296347592
acquire, 956420404, 296347592
Sum is :253
release, 956420404, 296347592
release, 956420404, 296347592
release, 956420404, 296347592
release, 956420404, 296347592
release, 956420404, 296347592
Thread Thread_I#0#22 SUCCEEDED:Lock Lock_I#0#22 is accuqired and released equivalent times
end, , 296347592
begin, , 1076770748
acquire, 956420404, 1076770748
acquire, 956420404, 1076770748
acquire, 956420404, 1076770748
acquire, 956420404, 1076770748
acquire, 956420404, 1076770748
Sum is :1
release, 956420404, 1076770748
release, 956420404, 1076770748
release, 956420404, 1076770748
release, 956420404, 1076770748
release, 956420404, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#22 is accuqired and released equivalent times
end, , 1076770748
begin, , 349420578
acquire, 315932542, 349420578
acquire, 315932542, 349420578
acquire, 315932542, 349420578
acquire, 315932542, 349420578
acquire, 315932542, 349420578
Sum is :276
release, 315932542, 349420578
release, 315932542, 349420578
release, 315932542, 349420578
release, 315932542, 349420578
release, 315932542, 349420578
Thread Thread_I#0#23 SUCCEEDED:Lock Lock_I#0#23 is accuqired and released equivalent times
end, , 349420578
begin, , 2041416495
acquire, 315932542, 2041416495
acquire, 315932542, 2041416495
acquire, 315932542, 2041416495
acquire, 315932542, 2041416495
acquire, 315932542, 2041416495
Sum is :3
release, 315932542, 2041416495
release, 315932542, 2041416495
release, 315932542, 2041416495
release, 315932542, 2041416495
release, 315932542, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#23 is accuqired and released equivalent times
end, , 2041416495
begin, , 1277009227
acquire, 2065857933, 1277009227
acquire, 2065857933, 1277009227
acquire, 2065857933, 1277009227
acquire, 2065857933, 1277009227
acquire, 2065857933, 1277009227
Sum is :300
release, 2065857933, 1277009227
release, 2065857933, 1277009227
release, 2065857933, 1277009227
release, 2065857933, 1277009227
release, 2065857933, 1277009227
Thread Thread_I#0#24 SUCCEEDED:Lock Lock_I#0#24 is accuqired and released equivalent times
end, , 1277009227
begin, , 1043351526
acquire, 2065857933, 1043351526
acquire, 2065857933, 1043351526
acquire, 2065857933, 1043351526
acquire, 2065857933, 1043351526
acquire, 2065857933, 1043351526
Sum is :0
release, 2065857933, 1043351526
release, 2065857933, 1043351526
release, 2065857933, 1043351526
release, 2065857933, 1043351526
release, 2065857933, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#24 is accuqired and released equivalent times
end, , 1043351526
begin, , 1914301543
acquire, 1157726741, 1914301543
acquire, 1157726741, 1914301543
acquire, 1157726741, 1914301543
acquire, 1157726741, 1914301543
acquire, 1157726741, 1914301543
Sum is :325
release, 1157726741, 1914301543
release, 1157726741, 1914301543
release, 1157726741, 1914301543
release, 1157726741, 1914301543
release, 1157726741, 1914301543
Thread Thread_I#0#25 SUCCEEDED:Lock Lock_I#0#25 is accuqired and released equivalent times
end, , 1914301543
begin, , 1076770748
acquire, 1157726741, 1076770748
acquire, 1157726741, 1076770748
acquire, 1157726741, 1076770748
acquire, 1157726741, 1076770748
acquire, 1157726741, 1076770748
Sum is :1
release, 1157726741, 1076770748
release, 1157726741, 1076770748
release, 1157726741, 1076770748
release, 1157726741, 1076770748
release, 1157726741, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#25 is accuqired and released equivalent times
end, , 1076770748
begin, , 1708570683
acquire, 225472281, 1708570683
acquire, 225472281, 1708570683
acquire, 225472281, 1708570683
acquire, 225472281, 1708570683
acquire, 225472281, 1708570683
Sum is :351
release, 225472281, 1708570683
release, 225472281, 1708570683
release, 225472281, 1708570683
release, 225472281, 1708570683
release, 225472281, 1708570683
Thread Thread_I#0#26 SUCCEEDED:Lock Lock_I#0#26 is accuqired and released equivalent times
end, , 1708570683
begin, , 2041416495
acquire, 225472281, 2041416495
acquire, 225472281, 2041416495
acquire, 225472281, 2041416495
acquire, 225472281, 2041416495
acquire, 225472281, 2041416495
Sum is :3
release, 225472281, 2041416495
release, 225472281, 2041416495
release, 225472281, 2041416495
release, 225472281, 2041416495
release, 225472281, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#26 is accuqired and released equivalent times
end, , 2041416495
begin, , 817348612
acquire, 2045766957, 817348612
acquire, 2045766957, 817348612
acquire, 2045766957, 817348612
acquire, 2045766957, 817348612
acquire, 2045766957, 817348612
Sum is :378
release, 2045766957, 817348612
release, 2045766957, 817348612
release, 2045766957, 817348612
release, 2045766957, 817348612
release, 2045766957, 817348612
Thread Thread_I#0#27 SUCCEEDED:Lock Lock_I#0#27 is accuqired and released equivalent times
end, , 817348612
begin, , 1043351526
acquire, 2045766957, 1043351526
acquire, 2045766957, 1043351526
acquire, 2045766957, 1043351526
acquire, 2045766957, 1043351526
acquire, 2045766957, 1043351526
Sum is :0
release, 2045766957, 1043351526
release, 2045766957, 1043351526
release, 2045766957, 1043351526
release, 2045766957, 1043351526
release, 2045766957, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#27 is accuqired and released equivalent times
end, , 1043351526
begin, , 690521419
acquire, 665726928, 690521419
acquire, 665726928, 690521419
acquire, 665726928, 690521419
acquire, 665726928, 690521419
acquire, 665726928, 690521419
Sum is :406
release, 665726928, 690521419
release, 665726928, 690521419
release, 665726928, 690521419
release, 665726928, 690521419
release, 665726928, 690521419
Thread Thread_I#0#28 SUCCEEDED:Lock Lock_I#0#28 is accuqired and released equivalent times
end, , 690521419
begin, , 1076770748
acquire, 665726928, 1076770748
acquire, 665726928, 1076770748
acquire, 665726928, 1076770748
acquire, 665726928, 1076770748
acquire, 665726928, 1076770748
Sum is :1
release, 665726928, 1076770748
release, 665726928, 1076770748
release, 665726928, 1076770748
release, 665726928, 1076770748
release, 665726928, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#28 is accuqired and released equivalent times
end, , 1076770748
begin, , 689401025
acquire, 790067787, 689401025
acquire, 790067787, 689401025
acquire, 790067787, 689401025
acquire, 790067787, 689401025
acquire, 790067787, 689401025
Sum is :435
release, 790067787, 689401025
release, 790067787, 689401025
release, 790067787, 689401025
release, 790067787, 689401025
release, 790067787, 689401025
Thread Thread_I#0#29 SUCCEEDED:Lock Lock_I#0#29 is accuqired and released equivalent times
end, , 689401025
begin, , 2041416495
acquire, 790067787, 2041416495
acquire, 790067787, 2041416495
acquire, 790067787, 2041416495
acquire, 790067787, 2041416495
acquire, 790067787, 2041416495
Sum is :3
release, 790067787, 2041416495
release, 790067787, 2041416495
release, 790067787, 2041416495
release, 790067787, 2041416495
release, 790067787, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#29 is accuqired and released equivalent times
end, , 2041416495
begin, , 1115201599
acquire, 343856911, 1115201599
acquire, 343856911, 1115201599
acquire, 343856911, 1115201599
acquire, 343856911, 1115201599
acquire, 343856911, 1115201599
Sum is :465
release, 343856911, 1115201599
release, 343856911, 1115201599
release, 343856911, 1115201599
release, 343856911, 1115201599
release, 343856911, 1115201599
Thread Thread_I#0#30 SUCCEEDED:Lock Lock_I#0#30 is accuqired and released equivalent times
end, , 1115201599
begin, , 1043351526
acquire, 343856911, 1043351526
acquire, 343856911, 1043351526
acquire, 343856911, 1043351526
acquire, 343856911, 1043351526
acquire, 343856911, 1043351526
Sum is :0
release, 343856911, 1043351526
release, 343856911, 1043351526
release, 343856911, 1043351526
release, 343856911, 1043351526
release, 343856911, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#30 is accuqired and released equivalent times
